date,close_spy,close_gspc,vix,rate_10y
1996-05-30,40.31987380981445,671.7000122070312,16.02,6.78
1996-05-31,40.02064514160156,669.1199951171875,16.07,6.85
1996-06-01,40.02064514160156,669.1199951171875,16.07,6.85
1996-06-02,40.02064514160156,669.1199951171875,16.07,6.85
1996-06-03,40.13285827636719,667.6799926757812,16.86,6.87
1996-06-04,40.413387298583984,672.5599975585938,16.18,6.86
1996-06-05,40.76871109008789,678.4400024414062,16.04,6.82
1996-06-06,40.469505310058594,673.030029296875,16.84,6.76
1996-06-07,40.469505310058594,673.3099975585938,16.1,6.93
1996-06-08,40.469505310058594,673.3099975585938,16.1,6.93
1996-06-09,40.469505310058594,673.3099975585938,16.1,6.93
1996-06-10,40.33858108520508,672.1599731445312,16.78,6.97
1996-06-11,40.301170349121094,670.969970703125,16.68,6.99
1996-06-12,40.22638702392578,669.0399780273438,17.0,7.03
1996-06-13,40.22638702392578,667.9199829101562,17.12,7.01
1996-06-14,40.05807113647461,665.8499755859375,18.64,6.95
1996-06-15,40.05807113647461,665.8499755859375,18.64,6.95
1996-06-16,40.05807113647461,665.8499755859375,18.64,6.95
1996-06-17,40.03001403808594,665.1599731445312,17.46,6.9
1996-06-18,39.70273208618164,662.0599975585938,17.45,6.93
1996-06-19,39.88040542602539,661.9600219726562,17.54,6.96
1996-06-20,39.85235595703125,662.0999755859375,16.97,6.98
1996-06-21,40.19512176513672,666.8400268554688,15.8,6.96
1996-06-22,40.19512176513672,666.8400268554688,15.8,6.96
1996-06-23,40.19512176513672,666.8400268554688,15.8,6.96
1996-06-24,40.27032470703125,668.8499755859375,15.91,6.94
1996-06-25,40.22331619262695,668.47998046875,15.43,6.91
1996-06-26,39.95071029663086,664.3900146484375,15.23,6.91
1996-06-27,40.23270797729492,668.5499877929688,14.19,6.83
1996-06-28,40.37372589111328,670.6300048828125,13.68,6.73
1996-06-29,40.37372589111328,670.6300048828125,13.68,6.73
1996-06-30,40.37372589111328,670.6300048828125,13.68,6.73
1996-07-01,40.721527099609375,675.8800048828125,13.78,6.74
1996-07-02,40.57111358642578,673.6099853515625,14.19,6.8
1996-07-03,40.48652648925781,672.4000244140625,14.21,6.78
1996-07-04,40.48652648925781,672.4000244140625,14.21,6.78
