source,date,Unnamed: 0,underlying,put_call,expiry,strike,mid,last,iv,delta,gamma,vega,theta,open_interest,volume,close_spy,close_gspc,vix,rate_10y,tenor_d,moneyness,close_spy_x,close_gspc_x,vix_x,rate_10y_x,hvol_10d,hvol_14d,hvol_30d,hvol_60d,hvol_91d,hvol_122d,hvol_152d,hvol_182d,hvol_273d,hvol_365d,hvol_547d,hvol_730d,hvol_1825d,fwd_front,close_spy_y,close_gspc_y,vix_y,rate_10y_y
options_snapshot_spy,2005-01-10,2.0,SPY,C,2005-02-09,119.20378,1.622029,1.622029,0.119222,0.506618,0.097998,13.604388,-11.076229,0.0,131377.0,80.962646484375,1190.25,13.23,4.29,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-11,36.0,SPY,C,2005-10-11,119.244618,5.804914,5.804914,0.141897,0.526516,0.027439,40.134058,-5.615226,116214.0,72655.0,80.40473937988281,1182.989990234375,13.19,4.26,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-12,58.0,SPY,C,2005-10-12,119.651183,5.618612,5.618612,0.136811,0.525896,0.028377,40.272058,-5.505375,178459.0,53082.0,80.67008209228516,1187.699951171875,12.56,4.25,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-13,78.0,SPY,C,2005-07-14,118.233438,4.460037,4.460037,0.133107,0.525639,0.03643,32.758886,-6.169467,206213.0,47411.0,80.02376556396484,1177.449951171875,12.84,4.2,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-14,102.0,SPY,C,2005-10-14,119.315263,5.498172,5.498172,0.134647,0.524501,0.028926,40.153679,-5.432287,238711.0,80492.0,80.44559478759766,1184.52001953125,12.43,4.23,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-18,123.0,SPY,P,2005-07-19,120.138176,4.355779,4.355779,0.127252,-0.492286,0.038434,33.092022,-2.534464,312899.0,86638.0,81.2824478149414,1195.97998046875,12.47,4.21,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-19,145.0,SPY,P,2005-07-20,118.881853,4.411296,4.411296,0.130179,-0.491799,0.03788,32.813605,-2.584823,349706.0,47445.0,80.4319839477539,1184.6300048828125,13.18,4.2,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-20,167.0,SPY,P,2005-07-21,118.144339,4.486902,4.486902,0.13336,-0.490756,0.037132,32.629359,-2.676325,368407.0,126125.0,79.9421157836914,1175.4100341796875,13.83,4.17,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-21,188.0,SPY,C,2005-07-22,117.399585,4.493591,4.493591,0.13639,0.521957,0.035755,32.535587,-6.23148,357331.0,108683.0,79.45227813720703,1167.8699951171875,14.36,4.16,,,,,,,,,,,,,,,,,,,,,,,,
options_snapshot_spy,2005-01-24,212.0,SPY,C,2005-10-24,117.608196,5.613989,5.613989,0.140276,0.523054,0.028132,39.60284,-5.504765,355817.0,55674.0,79.2957992553711,1163.75,14.65,4.14,,,,,,,,,,,,,,,,,,,,,,,,
