date,close_spy,high_spy,low_spy,open_spy,rv_21d
1993-01-29,24.313037872314453,24.330330217885088,24.209283798890635,24.330330217885088,0.12690257067901045
1993-02-01,24.4859676361084,24.4859676361084,24.330336485878895,24.330336485878895,0.1238955857720348
1993-02-02,24.537837982177734,24.555130327478775,24.416791565070444,24.46866860097357,0.12478051950992804
1993-02-03,24.79722785949707,24.814520208074125,24.5551349794183,24.572427327995353,0.11979185820931305
1993-02-04,24.90097427368164,24.952851303418477,24.607004438506234,24.88368193043603,0.13561992403727915
1993-02-05,24.8836727142334,24.93554972475647,24.745334019505208,24.8836727142334,0.1355534782525749
1993-02-08,24.8836727142334,24.970134398438518,24.84908804055135,24.8836727142334,0.13609075301551257
1993-02-09,24.710750579833984,24.797212268356844,24.658873566720263,24.797212268356844,0.1361374573291064
1993-02-10,24.74533462524414,24.762626962508463,24.641580601658212,24.7107499507155,0.13919121308706037
1993-02-11,24.86638069152832,24.970134713885184,24.779919006230934,24.779919006230934,0.13929334027065798
1993-02-12,24.676177978515625,24.831809094007316,24.676177978515625,24.831809094007316,0.13722557260911658
1993-02-16,24.05364990234375,24.607004896502627,24.01906521520882,24.607004896502627,0.11092534455842742
1993-02-17,24.03635597229004,24.088232999568365,23.9498942601595,24.05364831471615,0.1141921608551117
1993-02-18,24.019060134887695,24.31302991335644,23.690505676599095,24.31302991335644,0.11439694713612902
1993-02-19,24.10552215576172,24.10552215576172,23.984475774778698,24.01906045505956,0.11332526311576188
1993-02-22,24.191991806030273,24.22657649767578,24.105530076916516,24.174699460207524,0.11303722307339749
1993-02-23,24.174707412719727,24.278461521787193,24.053660952141016,24.26116917027595,0.11310857920329344
1993-02-24,24.4859676361084,24.4859676361084,24.19199768567489,24.19199768567489,0.10467123743940844
1993-02-25,24.537837982177734,24.555130327478775,24.416791565070444,24.46866860097357,0.10674402592160874
1993-02-26,24.572420120239258,24.589712463744004,24.45137371570606,24.589712463744004,0.10890180483880112
1993-03-01,24.50324821472168,24.658879290185684,24.468663531285234,24.658879290185684,0.10876349128648226
1993-03-02,24.86638069152832,24.86638069152832,24.48594927621982,24.520533950338777,0.09865102977956776
1993-03-03,24.97014617919922,24.987438524198662,24.866392109202543,24.900976799201434,0.09865325480975187
1993-03-04,24.83181381225586,25.004737306770178,24.83181381225586,25.004737306770178,0.11960439817984225
1993-03-05,24.76262855529785,24.970136615817108,24.745336216921245,24.866382585557478,0.1194320992241605
1993-03-08,25.315996170043945,25.315996170043945,24.814518103834057,24.814518103834057,0.09983709380370558
1993-03-09,25.229520797729492,25.281397811021606,25.177643784437386,25.26410547325757,0.10056493961589581
1993-03-10,25.281404495239258,25.28140449523926,25.125773414215214,25.229527468231243,0.09973132225185179
1993-03-11,25.212244033813477,25.36787516982467,25.1776593369221,25.29870577604192,0.11015611239086025
1993-03-12,24.95284652709961,25.022015886842087,24.797215467679028,25.00472354690647,0.10624364680810523
