date,market_daily__close_spy,market_daily__close_gspc,market_daily__vix,market_daily__rate_10y,market_extended_spx__close_spy,market_extended_spx__close_gspc,market_extended_spx__vix,market_extended_spx__rate_10y,market_extended_spx__hvol_10d,market_extended_spx__hvol_14d,market_extended_spx__hvol_30d,market_extended_spx__hvol_60d,market_extended_spx__hvol_91d,market_extended_spx__hvol_122d,market_extended_spx__hvol_152d,market_extended_spx__hvol_182d,market_extended_spx__hvol_273d,market_extended_spx__hvol_365d,market_extended_spx__hvol_547d,market_extended_spx__hvol_730d,market_extended_spx__hvol_1825d,market_extended_spx__fwd_front,market_extended_spy__close_spy,market_extended_spy__close_gspc,market_extended_spy__vix,market_extended_spy__rate_10y,market_extended_spy__hvol_10d,market_extended_spy__hvol_14d,market_extended_spy__hvol_30d,market_extended_spy__hvol_60d,market_extended_spy__hvol_91d,market_extended_spy__hvol_122d,market_extended_spy__hvol_152d,market_extended_spy__hvol_182d,market_extended_spy__hvol_273d,market_extended_spy__hvol_365d,market_extended_spy__hvol_547d,market_extended_spy__hvol_730d,market_extended_spy__hvol_1825d,market_extended_spy__fwd_front,options_snapshot_spx__Unnamed: 0,options_snapshot_spx__underlying,options_snapshot_spx__put_call,options_snapshot_spx__expiry,options_snapshot_spx__strike,options_snapshot_spx__mid,options_snapshot_spx__last,options_snapshot_spx__iv,options_snapshot_spx__delta,options_snapshot_spx__gamma,options_snapshot_spx__vega,options_snapshot_spx__theta,options_snapshot_spx__open_interest,options_snapshot_spx__volume,options_snapshot_spy__Unnamed: 0,options_snapshot_spy__underlying,options_snapshot_spy__put_call,options_snapshot_spy__expiry,options_snapshot_spy__strike,options_snapshot_spy__mid,options_snapshot_spy__last,options_snapshot_spy__iv,options_snapshot_spy__delta,options_snapshot_spy__gamma,options_snapshot_spy__vega,options_snapshot_spy__theta,options_snapshot_spy__open_interest,options_snapshot_spy__volume,vol_surface_spx__Unnamed: 0,vol_surface_spx__underlying,vol_surface_spx__tenor_d,vol_surface_spx__moneyness,vol_surface_spx__iv,vol_surface_spy__Unnamed: 0,vol_surface_spy__underlying,vol_surface_spy__tenor_d,vol_surface_spy__moneyness,vol_surface_spy__iv
2005-02-07,81.69062042236328,1201.719970703125,11.73,4.07,81.69062042236328,1201.719970703125,11.73,4.07,0.086526,0.07511,0.101094,0.092814,0.09477,0.100948,0.10155,0.103115,0.103822,0.110066,0.112035,0.135562,0.199872,1202.66868,81.69062042236328,1201.719970703125,11.73,4.07,0.079852,0.062655,0.09562,0.087995,0.087248,0.096578,0.098708,0.098959,0.103581,0.110722,0.110094,0.133613,0.202405,120.173671,50360,SPX,C,2005-03-09,1201.741066,13.669695,13.669695,0.099682,0.50457,0.011589,137.123401,-82.906143,1394431,50058,420,SPY,C,2005-03-09,120.34104,1.382011,1.382011,0.100637,0.505756,0.115114,13.732489,-10.031967,682246.0,26016.0,778260,SPX,30,-90,0.130365,6460,SPY,30,-90,0.078146
2005-02-08,81.78592681884766,1202.300048828125,11.6,4.05,81.78592681884766,1202.300048828125,11.6,4.05,0.082183,0.076145,0.098536,0.092754,0.094738,0.10034,0.101534,0.101703,0.103493,0.110031,0.112016,0.135428,0.199865,1203.163226,81.78592681884766,1202.300048828125,11.6,4.05,0.07447,0.063317,0.093214,0.088005,0.087107,0.095996,0.098678,0.097858,0.103183,0.110725,0.110065,0.133481,0.202404,120.295645,50382,SPX,C,2005-03-10,1202.728208,13.375619,13.375619,0.097458,0.50461,0.011852,137.235601,-83.623044,1403095,37837,442,SPY,C,2005-03-10,120.473913,1.358375,1.358375,0.098808,0.505616,0.117101,13.747608,-9.844568,696025.0,32229.0,778600,SPX,30,-90,0.128434,6800,SPY,30,-90,0.079803
2005-02-09,81.17359924316406,1191.989990234375,12.0,4.0,81.17359924316406,1191.989990234375,12.0,4.0,0.102875,0.094168,0.102979,0.094214,0.09647,0.101055,0.102326,0.102438,0.104019,0.110278,0.112002,0.135503,0.199678,1192.759777,81.17359924316406,1191.989990234375,12.0,4.0,0.092017,0.081754,0.096167,0.089033,0.08862,0.096511,0.099258,0.098564,0.103384,0.110958,0.110044,0.133536,0.202223,119.395828,50404,SPX,C,2005-03-11,1193.152712,14.231206,14.231206,0.104525,0.505325,0.011153,136.14056,-93.319444,1422246,69786,464,SPY,C,2005-03-11,119.580633,1.402958,1.402958,0.102813,0.50588,0.113394,13.645523,-10.156451,707961.0,32620.0,778940,SPX,30,-90,0.126477,7140,SPY,30,-90,0.083627
2005-02-10,81.46611785888672,1197.010009765625,11.51,4.07,81.46611785888672,1197.010009765625,11.51,4.07,0.096162,0.094843,0.101358,0.093604,0.095161,0.10121,0.101993,0.100969,0.1041,0.109853,0.1119,0.13538,0.199607,1197.693966,81.46611785888672,1197.010009765625,11.51,4.07,0.088835,0.082269,0.093325,0.088354,0.087653,0.096465,0.09889,0.097178,0.103302,0.110524,0.109973,0.13344,0.202149,119.814268,50426,SPX,C,2005-03-12,1197.54866,13.574372,13.574372,0.099324,0.504815,0.011683,136.657832,-85.522405,1437936,43481,486,SPY,C,2005-03-12,119.996855,1.371706,1.371706,0.100164,0.505718,0.115974,13.694544,-9.883884,726676.0,23895.0,779280,SPX,30,-90,0.125657,7480,SPY,30,-90,0.07844
2005-02-11,82.1668930053711,1205.300048828125,11.43,4.1,82.1668930053711,1205.300048828125,11.43,4.1,0.096229,0.094033,0.103093,0.092553,0.094436,0.101624,0.101971,0.101318,0.104358,0.109945,0.111913,0.135112,0.199553,1205.902368,82.1668930053711,1205.300048828125,11.43,4.1,0.093815,0.08765,0.096941,0.088288,0.087913,0.097039,0.099169,0.097759,0.10372,0.110772,0.110153,0.133017,0.202106,120.817534,50448,SPX,C,2005-03-13,1206.803626,13.461137,13.461137,0.09774,0.505127,0.0118,137.7144,-90.763949,1442488,88418,508,SPY,C,2005-03-13,121.006589,1.330953,1.330953,0.096376,0.505407,0.119482,13.809923,-9.511811,735378.0,61517.0,779620,SPX,30,-90,0.112175,7820,SPY,30,-90,0.084519
2005-02-14,82.10564422607422,1206.1400146484375,11.52,4.08,82.10564422607422,1206.1400146484375,11.52,4.08,0.084078,0.089092,0.098193,0.094132,0.094431,0.100037,0.102196,0.099719,0.103548,0.109799,0.111912,0.134457,0.199619,1206.4844,82.10564422607422,1206.1400146484375,11.52,4.08,0.085233,0.087053,0.092798,0.090121,0.08784,0.095074,0.099202,0.096893,0.103183,0.110674,0.110139,0.132325,0.202094,120.723074,50470,SPX,C,2005-03-16,1206.927722,13.617457,13.617457,0.098865,0.504891,0.011651,137.728171,-87.312896,1471956,42106,530,SPY,C,2005-03-16,120.941245,1.380741,1.380741,0.100036,0.505721,0.11522,13.802309,-9.965552,765512.0,28142.0,779960,SPX,30,-90,0.119782,8160,SPY,30,-90,0.08096
2005-02-15,82.41183471679688,1210.1199951171875,11.27,4.1,82.41183471679688,1210.1199951171875,11.27,4.1,0.078653,0.085451,0.096065,0.092413,0.093384,0.099511,0.102223,0.09976,0.103343,0.109624,0.111714,0.134336,0.199624,1210.379127,82.41183471679688,1210.1199951171875,11.27,4.1,0.079998,0.084463,0.090931,0.088852,0.086726,0.094611,0.099247,0.096746,0.103119,0.110508,0.109973,0.13221,0.20208,121.164583,50492,SPX,C,2005-03-17,1211.116661,12.199229,12.199229,0.088262,0.50437,0.01301,138.208744,-80.000311,1477429,76597,552,SPY,C,2005-03-17,121.392447,1.335487,1.335487,0.096398,0.505513,0.119125,13.853838,-9.698355,780859.0,50924.0,780300,SPX,30,-90,0.161115,8500,SPY,30,-90,0.086643
2005-02-16,82.46627044677734,1210.3399658203125,11.1,4.16,82.46627044677734,1210.3399658203125,11.1,4.16,0.072912,0.085352,0.093792,0.091252,0.092809,0.098928,0.102055,0.098413,0.10328,0.10921,0.111701,0.134203,0.199147,1210.512581,82.46627044677734,1210.3399658203125,11.1,4.16,0.074099,0.084377,0.088755,0.087738,0.086017,0.09405,0.0991,0.095835,0.103009,0.110163,0.109941,0.132079,0.201846,121.23593,50514,SPX,C,2005-03-18,1211.054976,11.877203,11.877203,0.085937,0.504119,0.013357,138.201935,-76.320395,1491526,150870,574,SPY,C,2005-03-18,120.948398,1.582606,1.582606,0.096744,0.560702,0.117326,13.84859,-9.425433,802029.0,42778.0,780640,SPX,30,-90,0.180386,8840,SPY,30,-90,0.085661
2005-02-17,81.79949951171875,1200.75,11.77,4.19,81.79949951171875,1200.75,11.77,4.19,0.087828,0.095818,0.093214,0.092387,0.094292,0.099851,0.102434,0.098996,0.10375,0.109414,0.111895,0.133697,0.199099,1200.835743,81.79949951171875,1200.75,11.77,4.19,0.089933,0.095855,0.087732,0.089114,0.0877,0.095256,0.099566,0.096529,0.103462,0.110382,0.110105,0.131702,0.201798,120.247175,50536,SPX,C,2005-03-19,1201.594527,12.688891,12.688891,0.092534,0.504547,0.012504,137.119229,-82.032512,1551310,131686,596,SPY,C,2005-03-19,120.014284,1.610166,1.610166,0.101446,0.558368,0.114666,13.404523,-10.192444,816767.0,32593.0,780980,SPX,30,-90,0.17715,9180,SPY,30,-90,0.091509
2005-02-18,81.90838623046875,1201.5899658203125,11.18,4.27,81.90838623046875,1201.5899658203125,11.18,4.27,0.087888,0.077748,0.086614,0.092396,0.091324,0.098125,0.10195,0.098657,0.103671,0.10933,0.111877,0.133583,0.19902,1204.02895,81.90838623046875,1201.5899658203125,11.18,4.27,0.090003,0.079944,0.078943,0.08916,0.084518,0.093836,0.0991,0.09613,0.103457,0.110317,0.110086,0.131634,0.201719,120.398609,50558,SPX,C,2005-03-20,1202.713492,11.873703,11.873703,0.086509,0.504317,0.013369,137.247625,-78.80315,1342826,117845,618,SPY,C,2005-03-20,120.169495,1.505574,1.505574,0.094694,0.561095,0.123764,13.390368,-9.684567,824674.0,51171.0,781320,SPX,30,-90,0.156463,9520,SPY,30,-90,0.108355
